"2270012","“Zuong”","Sun, 5 Nov 2023 22:10:23 +0700","update new commit history",	 2 files changed, 664 insertions(+), 469 deletions(-)	
"413abfe","Carl-Johnsons","Sun, 5 Nov 2023 21:57:39 +0700","fix routing voucher",	 9 files changed, 1289 insertions(+), 36 deletions(-)	
"634d5e7","“Zuong”","Sun, 5 Nov 2023 20:38:44 +0700","update styles for info.jsp",	 1 file changed, 92 insertions(+), 81 deletions(-)	
"326adfd","phenchua29","Sun, 5 Nov 2023 19:21:10 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9fcf7ea","phenchua29","Sun, 5 Nov 2023 18:17:54 +0700","Update diagram",	 8 files changed, 283 insertions(+)	
"83b541e","Carl-Johnsons","Sun, 5 Nov 2023 16:10:07 +0700","fix screen flow",	 32 files changed, 1562 insertions(+), 1262 deletions(-)	
"cdd979b","lebathinh2003","Sun, 5 Nov 2023 15:56:50 +0700","add alert confirm when import or update import",	 3 files changed, 161 insertions(+), 12 deletions(-)	
"8e1b9f1","phenchua29","Sun, 5 Nov 2023 14:46:40 +0700","Accept reject order diagrams",	 6 files changed, 612 insertions(+), 19 deletions(-)	
"a3af486","lebathinh2003","Sun, 5 Nov 2023 14:11:07 +0700","fix navbar ivtr manager",	 2 files changed, 81 insertions(+), 5 deletions(-)	
"5b07301","lebathinh2003","Sun, 5 Nov 2023 13:44:25 +0700","fix so am",	 2 files changed, 17 insertions(+), 16 deletions(-)	
"7f55ad1","“Zuong”","Sun, 5 Nov 2023 13:42:36 +0700","fix negative number in list import product",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"46ec9f5","“Zuong”","Sun, 5 Nov 2023 13:42:15 +0700","update width for input field quantity import cart",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"c3b4c99","“Zuong”","Sun, 5 Nov 2023 13:22:28 +0700","fix bug order detail of order manager",	 2 files changed, 4 insertions(+), 2 deletions(-)	
"65bf1f9","phenchua29","Sun, 5 Nov 2023 13:09:31 +0700","Update diagrams",	 28 files changed, 1658 insertions(+), 414 deletions(-)	
"2c71677","Carl-Johnsons","Sun, 5 Nov 2023 12:54:10 +0700","done accept reject order",	 14 files changed, 1094 insertions(+)	
"3e53bb6","Carl-Johnsons","Sun, 5 Nov 2023 12:53:28 +0700","done accept/reject Order",	 1 file changed, 4 deletions(-)	
"d60f1b5","phenchua29","Sun, 5 Nov 2023 00:16:37 +0700","Add customer view order detail diagrams",	 2 files changed, 220 insertions(+)	
"6c8a712","lebathinh2003","Sun, 5 Nov 2023 00:04:43 +0700","fix sequence diagram",	 5 files changed, 431 insertions(+), 433 deletions(-)	
"df69f6d","Carl-Johnsons","Sat, 4 Nov 2023 22:56:53 +0700","done ban employee",	 4 files changed, 196 insertions(+), 2 deletions(-)	
"4dc70de","phenchua29","Sat, 4 Nov 2023 22:54:14 +0700","Render new svg",	 3 files changed, 275 insertions(+), 275 deletions(-)	
"115ad12","phenchua29","Sat, 4 Nov 2023 22:52:21 +0700","Fix actor",	 3 files changed, 10 insertions(+), 10 deletions(-)	
"b532452","phenchua29","Sat, 4 Nov 2023 22:45:54 +0700","Add sudo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"82072e9","phenchua29","Sat, 4 Nov 2023 22:39:20 +0700","Add logs",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9df4f47","phenchua29","Sat, 4 Nov 2023 22:35:46 +0700","Remove sudo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"bfdca52","phenchua29","Sat, 4 Nov 2023 22:33:49 +0700","Update script",	 1 file changed, 1 insertion(+)	
"f8465f0","phenchua29","Sat, 4 Nov 2023 22:32:59 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ae09362","phenchua29","Sat, 4 Nov 2023 22:30:28 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"1dc2902","lebathinh2003","Sat, 4 Nov 2023 22:29:50 +0700","update login, import, checkout",	 3 files changed, 259 insertions(+), 204 deletions(-)	
"c396105","Carl-Johnsons","Sat, 4 Nov 2023 22:28:55 +0700","fix numbering sequence diagram",	 73 files changed, 999 insertions(+), 5958 deletions(-)	
"939735e","phenchua29","Sat, 4 Nov 2023 22:10:01 +0700","Update new script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"634ebc5","phenchua29","Sat, 4 Nov 2023 22:09:29 +0700","Update new script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"b653410","phenchua29","Sat, 4 Nov 2023 21:28:35 +0700","Add update delivery address diagrams",	 6 files changed, 683 insertions(+)	
"96006a9","phenchua29","Sat, 4 Nov 2023 21:27:50 +0700","Delete unused diagrams",	 4 files changed, 235 deletions(-)	
"47a009b","phenchua29","Sat, 4 Nov 2023 21:27:36 +0700","Update new method's variable name",	 1 file changed, 23 insertions(+), 23 deletions(-)	
"7d12fe6","Carl-Johnsons","Sat, 4 Nov 2023 18:39:14 +0700","done delete delivery address",	 13 files changed, 628 insertions(+), 256 deletions(-)	
"a6df0ba","lebathinh2003","Sat, 4 Nov 2023 17:18:13 +0700","update login sequence diagram",	 1 file changed, 24 insertions(+), 24 deletions(-)	
"273d7f0","lebathinh2003","Sat, 4 Nov 2023 17:10:28 +0700","add display statistic sds",	 4 files changed, 230 insertions(+)	
"ad91988","Carl-Johnsons","Sat, 4 Nov 2023 17:09:10 +0700","done addDelivery Address SDS doc",	 10 files changed, 504 insertions(+), 6 deletions(-)	
"ac6624e","lebathinh2003","Sat, 4 Nov 2023 16:32:26 +0700","add checkout, import, bring to stock sds",	 25 files changed, 2744 insertions(+), 10 deletions(-)	
"913288d","Carl-Johnsons","Sat, 4 Nov 2023 14:18:10 +0700","add update brand fucntion in document",	 71 files changed, 331 insertions(+)	
"4be3965","phenchua29","Sat, 4 Nov 2023 14:00:04 +0700","Capitalize words",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"b0930f5","phenchua29","Sat, 4 Nov 2023 13:51:59 +0700","Update sorting user's order history",	 2 files changed, 1 insertion(+), 2 deletions(-)	
"1ad00b4","phenchua29","Sat, 4 Nov 2023 13:42:04 +0700","Update delivery address list's height",	 1 file changed, 1 insertion(+), 5 deletions(-)	
"0e9a761","phenchua29","Fri, 3 Nov 2023 16:01:07 +0700","Show newest orders for customer",	 1 file changed, 684 insertions(+), 682 deletions(-)	
"fbcdebe","“Zuong”","Fri, 3 Nov 2023 15:46:06 +0700","done sds for ban customer",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"20b19b4","“Zuong”","Fri, 3 Nov 2023 15:44:48 +0700","done delete customer for SDS",	 10 files changed, 512 insertions(+), 330 deletions(-)	
"3d1d520","“Zuong”","Fri, 3 Nov 2023 12:10:46 +0700","done order manager activity log for SDS",	 29 files changed, 2719 insertions(+), 40 deletions(-)	
"f163b40","“Zuong”","Fri, 3 Nov 2023 11:48:31 +0700","done inventory manager activity log for SDS",	 24 files changed, 2179 insertions(+), 9 deletions(-)	
"0622ed2","“Zuong”","Fri, 3 Nov 2023 11:19:57 +0700","done SDS for view admin activity log",	 21 files changed, 2280 insertions(+), 2 deletions(-)	
"2a714a8","Carl-Johnsons","Thu, 2 Nov 2023 19:39:34 +0700","Update checkout process",	 3 files changed, 182 insertions(+), 137 deletions(-)	
"4ce3c1c","Carl-Johnsons","Thu, 2 Nov 2023 18:55:24 +0700","delete delete function is brand management",	 6 files changed, 344 insertions(+), 73 deletions(-)	
"ede4edc","Carl-Johnsons","Thu, 2 Nov 2023 17:22:23 +0700","done brand management but i have to add the exception when the system can't delete the product that have the deleted brand",	 7 files changed, 650 insertions(+), 115 deletions(-)	
"7a93e61","phenchua29","Thu, 2 Nov 2023 13:12:42 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"f0dc325","phenchua29","Thu, 2 Nov 2023 12:59:35 +0700","Reformat file",	 1 file changed, 1 insertion(+)	
"faf850e","phenchua29","Thu, 2 Nov 2023 12:57:40 +0700","Removing old files on rebuild",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"4f75f58","phenchua29","Thu, 2 Nov 2023 12:49:13 +0700","Update script",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"a209f9b","phenchua29","Thu, 2 Nov 2023 12:45:08 +0700","Return the original text",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"a71ed30","phenchua29","Thu, 2 Nov 2023 11:06:46 +0700","Capitalize text",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"d44650a","phenchua29","Thu, 2 Nov 2023 10:57:47 +0700","Update log",	 1 file changed, 13 insertions(+), 1 deletion(-)	
"e2312af","phenchua29","Thu, 2 Nov 2023 10:39:32 +0700","Create script for linux server building process",	 1 file changed, 2 insertions(+)	
"30ae071","phenchua29","Thu, 2 Nov 2023 10:24:02 +0700","Update path for linux",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"a4f797b","phenchua29","Thu, 2 Nov 2023 10:05:20 +0700","Update file loading for Linux os",	 1 file changed, 8 insertions(+), 2 deletions(-)	
"4f286c2","“Zuong”","Thu, 2 Nov 2023 10:05:04 +0700","done test form for add, update user and update profile",	 3 files changed, 63 insertions(+), 26 deletions(-)	
"d55abb8","Carl-Johnsons","Thu, 2 Nov 2023 08:59:03 +0700","hot fix exceptionUtils",	 1 file changed, 33 insertions(+), 28 deletions(-)	
"b22fb94","Carl-Johnsons","Thu, 2 Nov 2023 08:53:36 +0700","hot fix add nonexist brand",	 1 file changed, 12 insertions(+), 2 deletions(-)	
"83198ea","phenchua29","Thu, 2 Nov 2023 08:50:00 +0700","Add alternative path for server",	 1 file changed, 1 insertion(+)	
"fa5540e","Carl-Johnsons","Thu, 2 Nov 2023 07:25:46 +0700","Hotfix update voucher",	 1 file changed, 27 insertions(+), 1 deletion(-)	
"63fddc6","Carl-Johnsons","Thu, 2 Nov 2023 06:54:04 +0700","Hotfix exception util",	 1 file changed, 52 insertions(+), 30 deletions(-)	
"7cc444a","Quốc Zương","Wed, 1 Nov 2023 23:03:28 +0700","update admin controller",	 2 files changed, 1 insertion(+), 3 deletions(-)	
"d2383a9","Carl-Johnsons","Wed, 1 Nov 2023 23:01:57 +0700","fix syntax",	 1 file changed, 4 insertions(+)	
"00cc87f","Carl-Johnsons","Wed, 1 Nov 2023 22:04:02 +0700","Update function name in Admin Controller",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"8eba03e","Carl-Johnsons","Tue, 31 Oct 2023 23:40:22 +0700","add add voucher page but still wrong in update voucher same voucher code",	 8 files changed, 142 insertions(+), 20 deletions(-)	
"e84bd95","Carl-Johnsons","Tue, 31 Oct 2023 10:10:58 +0700","add voucher page and fix customer active is false when update",	 7 files changed, 298 insertions(+), 13 deletions(-)	
"6d6aa0c","phenchua29","Mon, 30 Oct 2023 15:22:02 +0700","Change mailing content",	 1 file changed, 4 insertions(+), 5 deletions(-)	
"00f40bb","phenchua29","Mon, 30 Oct 2023 15:21:15 +0700","Refactor code",	 1 file changed, 7 insertions(+), 5 deletions(-)	
"6288157","phenchua29","Mon, 30 Oct 2023 14:54:40 +0700","Fix routing",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9d24fff","phenchua29","Mon, 30 Oct 2023 14:54:34 +0700","Turn on mail sending feature",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"d753b52","lebathinh2003","Sun, 29 Oct 2023 15:59:19 +0700","edit test case change password",	 1 file changed, 13 insertions(+), 13 deletions(-)	
"d635ddc","lebathinh2003","Sun, 29 Oct 2023 15:12:08 +0700","create test case",	 2 files changed, 128 insertions(+), 76 deletions(-)	
"b397a0d","Carl-Johnsons","Sat, 28 Oct 2023 11:24:39 +0700","Done updating voucher",	 10 files changed, 396 insertions(+), 711 deletions(-)	
"6759934","phenchua29","Fri, 27 Oct 2023 23:50:38 +0700","The image in product list now linked to the detail page",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ec29bd1","phenchua29","Fri, 27 Oct 2023 23:49:10 +0700","Update css",	 1 file changed, 14 insertions(+), 13 deletions(-)	
"ea9e04e","phenchua29","Fri, 27 Oct 2023 23:20:13 +0700","Update dynamic rendering list",	 1 file changed, 46 insertions(+), 359 deletions(-)	
"8245b76","phenchua29","Fri, 27 Oct 2023 23:19:12 +0700","Rename method",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"e7f58e4","phenchua29","Fri, 27 Oct 2023 22:45:38 +0700","Update dynamic rendering for newest product list",	 1 file changed, 674 insertions(+), 572 deletions(-)	
"af98b65","lebathinh2003","Fri, 27 Oct 2023 22:41:21 +0700","add get bottom 9 product function",	 1 file changed, 81 insertions(+)	
"36deceb","phenchua29","Fri, 27 Oct 2023 21:27:18 +0700","Update hovering effect for enabled item",	 1 file changed, 4 insertions(+)	
"9f6095d","phenchua29","Fri, 27 Oct 2023 21:17:21 +0700","Fix small bugs",	 1 file changed, 20 insertions(+), 7 deletions(-)	
"154db62","phenchua29","Fri, 27 Oct 2023 20:40:30 +0700","Update loading screen for product list",	 2 files changed, 62 insertions(+), 7 deletions(-)	
"272f1c9","phenchua29","Fri, 27 Oct 2023 19:17:51 +0700","Update css for searching box",	 1 file changed, 14 insertions(+), 1 deletion(-)	
"30e3669","phenchua29","Fri, 27 Oct 2023 19:17:40 +0700","Update filter and sorting function",	 1 file changed, 71 insertions(+), 18 deletions(-)	
"42d8f7f","phenchua29","Fri, 27 Oct 2023 17:22:47 +0700","Refactor codes",	 1 file changed, 13 insertions(+), 16 deletions(-)	
"75f3d30","phenchua29","Fri, 27 Oct 2023 17:22:38 +0700","Remove unnecessary codes",	 2 files changed, 1 insertion(+), 48 deletions(-)	
"9a9c624","phenchua29","Fri, 27 Oct 2023 17:20:50 +0700","Remove unnecessary codes",	 1 file changed, 283 insertions(+), 284 deletions(-)	
"d865339","phenchua29","Fri, 27 Oct 2023 16:54:45 +0700","Remove unnecessary padding",	 1 file changed, 1 insertion(+), 5 deletions(-)	
"1e74f5d","phenchua29","Fri, 27 Oct 2023 16:54:29 +0700","Add list filtering function",	 1 file changed, 59 insertions(+)	
"72a711d","phenchua29","Fri, 27 Oct 2023 16:54:16 +0700","Change list structure",	 1 file changed, 5 insertions(+), 8 deletions(-)	
"b06e73c","Quốc Zương","Fri, 27 Oct 2023 16:53:28 +0700","add js for update voucher",	 2 files changed, 48 insertions(+), 15 deletions(-)	
"e3c04b9","Carl-Johnsons","Fri, 27 Oct 2023 15:54:36 +0700","add exception and handle case if there are no product that voucher applied in cart",	 3 files changed, 38 insertions(+)	
"d1a99bc","Carl-Johnsons","Fri, 27 Oct 2023 15:30:49 +0700","Fix register, Cart",	 13 files changed, 202 insertions(+), 109 deletions(-)	
"27d825a","Quốc Zương","Fri, 27 Oct 2023 14:48:17 +0700","remove temp sout",	 5 files changed, 318 insertions(+), 302 deletions(-)	
"70a59be","phenchua29","Fri, 27 Oct 2023 14:19:12 +0700","Update product list in voucher applying section",	 2 files changed, 59 insertions(+), 26 deletions(-)	
"897c887","Quốc Zương","Fri, 27 Oct 2023 14:11:21 +0700","add UI for inventory manager activity log",	 1 file changed, 27 insertions(+), 22 deletions(-)	
"abcdb55","Quốc Zương","Fri, 27 Oct 2023 14:11:00 +0700","update link for inventory activity log",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"f9fafd4","Quốc Zương","Fri, 27 Oct 2023 14:10:29 +0700","add searchImportForActivityLog in ImportDAO",	 1 file changed, 46 insertions(+)	
"5a2b9a7","Quốc Zương","Fri, 27 Oct 2023 14:10:16 +0700","add getEmployeeByInventoryManagerId in EmployeeDAO",	 1 file changed, 32 insertions(+), 4 deletions(-)	
"9733c9d","Quốc Zương","Fri, 27 Oct 2023 14:10:00 +0700","add inventory activity log in Admin DAO",	 1 file changed, 31 insertions(+), 1 deletion(-)	
"6612a25","lebathinh2003","Fri, 27 Oct 2023 13:50:44 +0700","update import admin",	 5 files changed, 88 insertions(+), 27 deletions(-)	
"991b90b","phenchua29","Fri, 27 Oct 2023 13:19:16 +0700","Fix css overlay and positioning",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"7e81d49","phenchua29","Fri, 27 Oct 2023 13:15:39 +0700","Make the cursor normal when point into the div, also disable user selection",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"b54f36b","phenchua29","Fri, 27 Oct 2023 13:14:58 +0700","Make the list overlay",	 1 file changed, 1 insertion(+)	
"c4c12a2","Carl-Johnsons","Fri, 27 Oct 2023 11:37:26 +0700","Fix pending list",	 2 files changed, 81 insertions(+), 91 deletions(-)	
"a096933","Carl-Johnsons","Fri, 27 Oct 2023 10:49:46 +0700","Fix order detail throw nullpointerException page",	 6 files changed, 113 insertions(+), 110 deletions(-)	
"938266b","lebathinh2003","Thu, 26 Oct 2023 18:41:22 +0700","update import admin",	 11 files changed, 1459 insertions(+), 167 deletions(-)	
"0432881","Carl-Johnsons","Thu, 26 Oct 2023 16:14:58 +0700","change datatype int to long in ImportDAO",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"ebd5cc6","Carl-Johnsons","Thu, 26 Oct 2023 16:05:12 +0700","Validate add product, update product form",	 9 files changed, 200 insertions(+), 63 deletions(-)	
"63e6a49","phenchua29","Thu, 26 Oct 2023 15:48:28 +0700","Update product list css",	 1 file changed, 277 insertions(+), 271 deletions(-)	
"f567bba","phenchua29","Thu, 26 Oct 2023 15:48:19 +0700","Moved sorting to sql query in DAO instead",	 1 file changed, 7 deletions(-)	
"0ff5a37","phenchua29","Thu, 26 Oct 2023 15:47:50 +0700","Change data type",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"4804c3b","phenchua29","Thu, 26 Oct 2023 15:46:57 +0700","Merge conflict",	 5 files changed, 91 insertions(+), 58 deletions(-)	
"ed4c079","phenchua29","Thu, 26 Oct 2023 15:44:38 +0700","Add new css for product list",	 1 file changed, 124 insertions(+)	
"8429007","Carl-Johnsons","Thu, 26 Oct 2023 13:13:01 +0700","Add function getAllSimplified in Product",	 6 files changed, 91 insertions(+), 59 deletions(-)	
"e6a3676","phenchua29","Thu, 26 Oct 2023 09:17:45 +0700","Add new method for data hanlding for DAOs",	 1 file changed, 12 insertions(+)	
"8fda753","phenchua29","Thu, 26 Oct 2023 09:17:24 +0700","Refactor code logic, Long value should be handled properly now",	 6 files changed, 64 insertions(+), 68 deletions(-)	
"fd7b998","phenchua29","Thu, 26 Oct 2023 09:16:18 +0700","Remove unnecessary comments",	 2 files changed, 12 deletions(-)	
"142c702","phenchua29","Thu, 26 Oct 2023 09:15:07 +0700","Add comments",	 1 file changed, 13 insertions(+), 12 deletions(-)	
"5306e26","lebathinh2003","Thu, 26 Oct 2023 10:38:38 +0700","them import lít, detail admin",	 5 files changed, 588 insertions(+), 21 deletions(-)	
"6855dc0","phenchua29","Thu, 26 Oct 2023 09:17:45 +0700","Add new method for data hanlding for DAOs",	 1 file changed, 12 insertions(+)	
"600426a","phenchua29","Thu, 26 Oct 2023 09:17:24 +0700","Refactor code logic, Long value should be handled properly now",	 6 files changed, 50 insertions(+), 58 deletions(-)	
"3bd85cd","phenchua29","Thu, 26 Oct 2023 09:16:18 +0700","Remove unnecessary comments",	 2 files changed, 12 deletions(-)	
"0fb16f5","phenchua29","Thu, 26 Oct 2023 09:15:07 +0700","Add comments",	 1 file changed, 13 insertions(+), 12 deletions(-)	
"a2893ab","Carl-Johnsons","Thu, 26 Oct 2023 09:04:34 +0700","add product list in Voucher update",	 2 files changed, 98 insertions(+), 54 deletions(-)	
"5c65465","Carl-Johnsons","Thu, 26 Oct 2023 08:06:31 +0700","Fix get order by day,month,year",	 2 files changed, 39 insertions(+), 50 deletions(-)	
"948442e","Quốc Zương","Thu, 26 Oct 2023 03:06:49 +0700","merge conflict",	 14 files changed, 744 insertions(+), 842 deletions(-)	
"cdcdbbf","Quốc Zương","Thu, 26 Oct 2023 03:06:05 +0700","add export receipt in controller",	 1 file changed, 47 insertions(+), 50 deletions(-)	
"b3b328e","Quốc Zương","Thu, 26 Oct 2023 03:01:26 +0700","done export receipt",	 7 files changed, 2134 insertions(+), 216 deletions(-)	
"bcab872","phenchua29","Thu, 26 Oct 2023 00:19:20 +0700","Change rendering logic",	 1 file changed, 7 insertions(+), 3 deletions(-)	
"f922aa9","phenchua29","Thu, 26 Oct 2023 00:17:16 +0700","Add new method for getting time range by month and year",	 1 file changed, 41 insertions(+), 1 deletion(-)	
"877124d","phenchua29","Thu, 26 Oct 2023 00:14:22 +0700","Add new method comment",	 1 file changed, 6 insertions(+)	
"8f98c83","phenchua29","Thu, 26 Oct 2023 00:12:53 +0700","Update method logic for new date time system compatibility",	 1 file changed, 132 insertions(+), 104 deletions(-)	
"d928a98","lebathinh2003","Wed, 25 Oct 2023 23:31:21 +0700","fix bug import, them dieu huong import",	 16 files changed, 663 insertions(+), 32 deletions(-)	
"34e5885","Carl-Johnsons","Wed, 25 Oct 2023 23:09:56 +0700","add template for CRUD voucher in controller",	 1 file changed, 33 insertions(+), 8 deletions(-)	
"a22bbfc","Carl-Johnsons","Wed, 25 Oct 2023 22:43:21 +0700","Minus item when order manager accepting order",	 3 files changed, 147 insertions(+), 71 deletions(-)	
"5116696","phenchua29","Wed, 25 Oct 2023 22:30:51 +0700","Update method's logic",	 1 file changed, 3 insertions(+), 2 deletions(-)	
"bd93fbb","phenchua29","Wed, 25 Oct 2023 22:28:25 +0700","Fix method's logic",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"89626b9","phenchua29","Wed, 25 Oct 2023 22:26:53 +0700","Add new method for generating time range in a day",	 1 file changed, 26 insertions(+), 4 deletions(-)	
"2be4e79","Quốc Zương","Wed, 25 Oct 2023 20:47:56 +0700","fix bug front end order detail page",	 1 file changed, 10 insertions(+), 1 deletion(-)	
"ce47e8d","Quốc Zương","Wed, 25 Oct 2023 20:33:30 +0700","add button for inventory manager",	 2 files changed, 9 insertions(+), 1 deletion(-)	
"ffc37a7","Carl-Johnsons","Wed, 25 Oct 2023 20:27:27 +0700","Fix routing after login",	 3 files changed, 430 insertions(+), 460 deletions(-)	
"c2e40a2","phenchua29","Wed, 25 Oct 2023 20:18:05 +0700","Update prevention system",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"c991b4d","Quốc Zương","Wed, 25 Oct 2023 20:11:54 +0700","fix bug price in product list page",	 18 files changed, 502 insertions(+), 969 deletions(-)	
"b8f28fd","phenchua29","Wed, 25 Oct 2023 17:33:42 +0700","Update new js for disabled button",	 1 file changed, 13 insertions(+)	
"0221f11","phenchua29","Wed, 25 Oct 2023 17:33:34 +0700","Update new css for disabled button",	 1 file changed, 4 insertions(+)	
"842e6d7","phenchua29","Wed, 25 Oct 2023 17:33:17 +0700","Change route links, turn off the ability to interact with order that is not pending",	 4 files changed, 24 insertions(+), 20 deletions(-)	
"4110f7c","phenchua29","Wed, 25 Oct 2023 17:28:57 +0700","Add new routes that help redirect user to proper page after rejecting or accepting an order",	 1 file changed, 59 insertions(+), 10 deletions(-)	
"bb0036c","lebathinh2003","Tue, 24 Oct 2023 17:52:28 +0700","bring to stock, store list",	 12 files changed, 539 insertions(+), 45 deletions(-)	
"757fc2e","phenchua29","Tue, 24 Oct 2023 17:40:02 +0700","Fix small bugs",	 6 files changed, 512 insertions(+), 465 deletions(-)	
"455b157","Carl-Johnsons","Tue, 24 Oct 2023 17:34:19 +0700","fix send new email",	 1 file changed, 9 insertions(+), 4 deletions(-)	
"d02be17","phenchua29","Tue, 24 Oct 2023 16:46:44 +0700","Fix css, remove unnecessary columns",	 3 files changed, 8 insertions(+), 18 deletions(-)	
"7433456","phenchua29","Tue, 24 Oct 2023 16:46:23 +0700","uppercasing letters",	 4 files changed, 16 insertions(+), 16 deletions(-)	
"bdfa152","Quốc Zương","Tue, 24 Oct 2023 16:46:08 +0700","temp",	 1 file changed, 1 deletion(-)	
"3e8974a","Carl-Johnsons","Tue, 24 Oct 2023 16:44:26 +0700","add update voucher page and voucher list",	 6 files changed, 637 insertions(+), 3 deletions(-)	
"b86d0ee","phenchua29","Tue, 24 Oct 2023 16:29:20 +0700","Merge conflict",	 2 files changed, 7 deletions(-)	
"6f15c62","Quốc Zương","Tue, 24 Oct 2023 16:08:13 +0700","fix bug brand page",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"585d8b5","Carl-Johnsons","Tue, 24 Oct 2023 14:20:09 +0700","Add admin update info and upgrade send email multi-thread",	 7 files changed, 200 insertions(+), 187 deletions(-)	
